Pays,Catégorie,Région,URL,Rang EGOV 2024,Indice EGOV,Indice E-Participation,Indice Services en ligne,Indice Capital humain,Indice Télécom,Perf Mobile,Perf Desktop,Access. Mobile,Access. Desktop,LCP Mobile (s),LCP Desktop (s),HTTPS,Responsive,Sitemap.xml,Technologie,Temps réponse (ms),Source,Nb Langues,Langues détectées,Moteur de recherche,Bandeau cookies,Formulaires en ligne,Chatbot,Documents PDF,Section actualités,Section marchés publics,Facebook,Twitter/X,LinkedIn,YouTube,Instagram,TikTok,Mention budget,Mention loi de finances,Mention rapport annuel,Mention open data,Mention dette publique,Mention transparence,Espace citoyen,Politique confidentialité,Mention API publique,Déclaration accessibilité,Facturation électronique,Tableau de bord temps réel,Relations investisseurs,Mécanisme de réclamations,Signalement de corruption,Liberté d'accès à l'info,Flux RSS,Abonnement newsletter,Organigramme publié,Budget citoyen,Plan stratégique,Données téléchargeables,Site multilingue,API avec documentation,Portail eID / SSO citoyen,Données budgétaires structurées,SW Visites/mois,SW Taux rebond (%),SW Pages/visite,SW Durée moy.,SW Rang mondial,SW SEO (%),SW Direct (%),SW Social (%),SW Pays principal,Score Maturité (%),Couverture (%),Score Universel (%),data_quality_flag,architecture_mode,score_portail_strict,score_provenance,score_gradue,apport_satellites,S1_portail_strict,S2_provenance,S3_sans_fragiles,S4_gradue,Score_Fondamentaux web,Score_Transparence,Score_Services,Score_Données ouvertes,Score_Ouverture institutionnelle,Statut,Collecté,Cluster,Profil Numérique,Preuve_Données_téléchargeables
Maroc,référence,Afrique,https://www.finances.gov.ma/fr/Pages/index.aspx,90.0,0.6841,0.4384,0.5618,0.6078,0.8827,,,,,,,O,O,O,SharePoint,3861.0,direct,5,"AR, EN, ES, FR, TZM",O,N,O,N,O,O,O,O,O,O,O,O,N,O,O,O,N,O,O,O,O,N,N,N,N,O,N,N,N,O,N,O,O,O,N,O,N,O,N,,,,,,,,,,55.2,100.0,86.2,live,centralized,69.5,69.5,50.2,-19.3,69.5,69.5,50.2,50.2,52.4,66.7,100.0,0.0,36.4,✓ collecté +7sat,Oui,1,Profil B — Portail Transactionnel,mention_confirmé
Danemark,meilleure pratique,Europe,https://en.fm.dk/,1.0,0.9847,0.9863,0.9992,0.9584,0.9966,,,,,,,O,O,O,Custom/Inconnu,1035.0,live,2,"DA, EN",O,O,O,N,O,O,O,O,O,O,O,O,N,O,N,O,N,O,O,O,O,O,O,N,N,N,N,O,O,O,O,N,O,N,N,N,N,O,N,,,,,,,,,,80.7,100.0,73.6,live,distributed,73.6,78.6,80.7,7.1,73.6,78.6,80.7,80.7,100.0,100.0,100.0,22.7,100.0,✓ collecté,Oui,0,Profil A — Portail Numérique Mature,
Estonie,meilleure pratique,Europe,https://www.fin.ee/,2.0,0.9727,0.9589,0.9953,0.9497,0.9731,,,,,,,O,O,O,Drupal,886.0,direct,3,"EN, ET, RU",O,O,O,N,O,O,O,O,O,O,O,O,N,O,O,N,O,N,O,O,O,N,O,N,N,N,N,N,N,O,N,O,N,O,O,O,N,O,N,,,,,,,,,,86.2,100.0,86.2,live,distributed,86.2,86.2,86.2,0.0,86.2,86.2,86.2,86.2,100.0,66.7,100.0,77.3,36.4,✓ collecté,Oui,0,Profil A — Portail Numérique Mature,portail
Singapour,meilleure pratique,Asie,https://www.mof.gov.sg/,3.0,0.9691,0.9589,0.9831,0.9362,0.9881,,,,,,,O,O,O,Custom/Inconnu,2810.0,direct,1,EN,O,O,O,N,O,O,O,O,O,O,O,O,O,O,N,O,O,N,O,O,O,N,N,N,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,,,,,,,,,,84.6,100.0,93.0,live,distributed,84.6,84.6,84.6,0.0,84.6,84.6,84.6,84.6,76.2,100.0,100.0,77.3,72.7,✓ collecté +6sat,Oui,0,Profil A — Portail Numérique Mature,portail:https://www.mof.gov.sg/news-resources/newsroom/
Corée du Sud,meilleure pratique,Asie,https://english.mofe.go.kr/,4.0,0.9679,0.9726,1.0,0.912,0.9917,,,,,,,O,O,O,Custom/Inconnu,5961.0,live,2,"EN, KO",O,N,O,N,O,O,O,O,O,N,O,O,N,O,N,N,O,N,O,N,O,O,O,N,N,O,N,N,N,N,N,N,N,N,O,N,N,N,N,,,,,,,,,,75.5,100.0,83.8,live,distributed,75.5,75.5,75.5,0.0,75.5,75.5,75.5,75.5,76.2,66.7,60.0,100.0,36.4,✓ collecté,Oui,2,Profil C — Portail Communicant,portail:https://english.mofe.go.kr/
Islande,meilleure pratique,Europe,https://www.government.is/ministries/ministry-of-finance-and-economic-affairs/,5.0,0.9671,0.9589,0.9075,0.9953,0.9983,,,,,,,O,O,N,Custom/Inconnu,1241.0,live,2,"EN, IS",O,O,O,N,O,O,O,O,O,O,O,O,N,O,N,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,O,N,N,N,O,N,O,N,,,,,,,,,,76.1,100.0,75.7,live,distributed,70.4,74.4,72.0,5.7,70.4,74.4,76.1,72.0,66.7,100.0,100.0,63.6,36.4,✓ collecté,Oui,0,Profil A — Portail Numérique Mature,
Arabie Saoudite,meilleure pratique,Asie,https://www.mof.gov.sa/en/,6.0,0.9602,0.9589,0.9899,0.9067,0.9841,,,,,,,O,O,O,SharePoint,2815.0,direct,2,"AR, EN",O,N,O,O,N,O,O,O,O,O,O,O,N,O,N,N,O,O,N,O,O,N,O,N,N,N,N,O,O,O,N,N,N,O,N,N,N,O,N,,,,,,,,,,60.1,100.0,68.4,live,centralized,60.1,60.1,56.0,0.0,60.1,60.1,60.1,56.0,76.2,0.0,100.0,40.9,63.6,✓ collecté,Oui,1,Profil B — Portail Transactionnel,
Royaume-Uni,meilleure pratique,Europe,https://www.gov.uk/government/organisations/hm-treasury,7.0,0.9577,0.9726,0.9535,0.945,0.9747,,,,,,,O,O,O,Custom/Inconnu,888.0,direct,1,EN,O,O,O,N,O,O,O,O,O,O,O,O,N,O,N,O,O,O,O,O,O,N,O,N,N,N,O,N,O,O,N,O,N,O,O,N,O,O,N,,,,,,,,,,92.5,100.0,92.5,live,distributed,92.5,92.5,92.5,0.0,92.5,92.5,92.5,92.5,100.0,100.0,100.0,77.3,63.6,✓ collecté +7sat,Oui,0,Profil A — Portail Numérique Mature,portail:https://www.gov.uk/government/organisations/hm-treasury
Australie,meilleure pratique,Océanie,https://treasury.gov.au/,8.0,0.9577,0.863,0.9222,1.0,0.9509,,,,,,,O,O,O,Drupal,1418.0,direct,1,EN,O,N,O,N,O,O,O,O,O,O,O,O,N,O,N,O,N,O,O,O,O,N,O,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,,,,,,,,,,64.8,100.0,92.5,live,distributed,84.2,84.2,64.8,-19.4,84.2,84.2,64.8,64.8,76.2,100.0,100.0,0.0,63.6,✓ collecté +7sat,Oui,1,Profil B — Portail Transactionnel,mention_confirmé
Finlande,meilleure pratique,Europe,https://vm.fi/en/frontpage,9.0,0.9575,0.8904,0.9097,0.9836,0.9791,,,,,,,O,O,O,Custom/Inconnu,7460.0,wayback,5,"EN, FI, FR, RU, SV",O,O,O,N,O,O,O,O,O,O,O,O,N,O,N,N,O,N,O,O,O,O,O,O,N,N,N,O,N,O,O,O,N,O,O,O,N,O,N,,,,,,,,,,93.6,100.0,93.6,wayback,distributed,93.6,93.6,93.6,0.0,93.6,93.6,93.6,93.6,100.0,66.7,100.0,100.0,72.7,✓ collecté ⚠️ wayback,Oui,0,Profil A — Portail Numérique Mature,non_vérifié
Pays-Bas,meilleure pratique,Europe,https://www.rijksoverheid.nl/ministeries/ministerie-van-financien,10.0,0.9538,0.9315,0.9212,0.9688,0.9715,,,,,,,O,O,O,Custom/Inconnu,1930.0,live,2,"EN, NL",O,N,O,N,N,O,O,O,O,O,O,O,N,O,N,O,O,O,O,N,O,N,O,N,N,N,N,N,N,O,N,N,N,N,O,O,N,O,N,,,,,,,,,,74.8,100.0,83.1,live,distributed,74.8,74.8,74.8,0.0,74.8,74.8,74.8,74.8,76.2,100.0,60.0,77.3,36.4,✓ collecté,Oui,0,Profil A — Portail Numérique Mature,portail
Émirats,meilleure pratique,Asie,https://www.mof.gov.ae/ar/home/,11.0,0.9533,0.7808,0.9163,0.9435,1.0,,,,,,,O,O,O,WordPress,7708.0,direct,2,"AR, EN",O,O,O,O,O,O,O,O,O,O,O,O,N,O,N,O,O,O,O,O,O,N,N,O,O,O,O,N,N,O,O,O,N,N,O,O,N,O,N,,,,,,,,,,84.6,100.0,93.0,live,centralized,84.6,84.6,84.6,0.0,84.6,84.6,84.6,84.6,76.2,100.0,100.0,77.3,72.7,✓ collecté +4sat,Oui,0,Profil A — Portail Numérique Mature,portail
Allemagne,meilleure pratique,Europe,https://www.bundesfinanzministerium.de/,12.0,0.9382,0.9726,0.9238,0.9672,0.9236,,,,,,,O,O,O,Government,965.0,direct,2,"DE, EN",O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,N,O,O,N,N,N,N,N,N,O,O,N,N,N,N,N,O,N,O,N,,,,,,,,,,62.5,100.0,90.2,live,distributed,81.8,81.8,62.5,-19.3,81.8,81.8,62.5,62.5,76.2,100.0,60.0,22.7,63.6,✓ collecté +7sat,Oui,0,Profil A — Portail Numérique Mature,mention_confirmé
Japon,meilleure pratique,Asie,https://www.mof.go.jp/english/,13.0,0.9351,0.9863,0.9427,0.9117,0.9509,,,,,,,O,O,N,Custom/Inconnu,2459.0,direct,2,"EN, JA",O,O,O,N,O,O,O,O,O,O,O,O,N,O,N,O,O,O,O,O,O,N,O,N,N,N,N,N,N,O,N,N,N,N,O,O,N,N,N,,,,,,,,,,87.8,100.0,84.8,live,distributed,87.8,87.8,87.8,0.0,87.8,87.8,87.8,87.8,90.5,100.0,100.0,77.3,36.4,✓ collecté +6sat,Oui,0,Profil A — Portail Numérique Mature,confirmé:https://www.mof.go.jp/english/policy/jgbs/reference/interest_rate/jgbcme.csv
Suède,meilleure pratique,Europe,https://www.government.se/government-of-sweden/ministry-of-finance/,14.0,0.9326,0.7945,0.8836,0.9274,0.9868,,,,,,,O,O,O,Custom/Inconnu,3906.0,wayback,2,"EN, SV",O,O,O,N,O,O,O,O,O,O,O,N,N,O,N,O,O,O,O,O,O,O,O,N,N,N,N,N,N,O,N,N,N,N,O,N,N,N,N,,,,,,,,,,96.8,100.0,96.8,wayback,distributed,96.8,96.8,96.8,0.0,96.8,96.8,96.8,96.8,100.0,100.0,100.0,100.0,36.4,✓ collecté ⚠️ wayback,Oui,0,Profil A — Portail Numérique Mature,non_vérifié
Norvège,meilleure pratique,Europe,https://www.regjeringen.no/en/dep/fin/,15.0,0.9315,0.863,0.9117,0.9175,0.9654,,,,,,,O,O,N,Custom/Inconnu,5217.0,wayback,2,"EN, NO",O,O,O,N,O,O,O,N,N,O,O,O,N,N,N,O,O,N,O,O,O,N,O,N,N,N,N,N,N,O,N,N,N,N,O,N,N,O,N,,,,,,,,,,87.8,100.0,84.8,wayback,distributed,87.8,87.8,87.8,0.0,87.8,87.8,87.8,87.8,90.5,100.0,100.0,77.3,36.4,✓ collecté ⚠️ wayback,Oui,0,Profil A — Portail Numérique Mature,non_vérifié
Nouvelle-Zélande,meilleure pratique,Océanie,https://www.treasury.govt.nz/,16.0,0.9265,0.9315,0.9453,0.9615,0.8728,,,,,,,O,O,N,Drupal,6090.0,live,1,EN,O,O,O,N,N,O,O,O,N,O,O,N,N,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,O,N,N,N,N,O,N,N,N,N,N,,,,,,,,,,71.8,100.0,77.0,live,distributed,71.8,71.8,67.7,0.0,71.8,71.8,71.8,67.7,66.7,100.0,100.0,40.9,63.6,✓ collecté,Oui,1,Profil B — Portail Transactionnel,
Espagne,meilleure pratique,Europe,https://www.hacienda.gob.es/,17.0,0.9206,0.8082,0.9054,0.8961,0.9603,,,,,,,O,O,O,SharePoint,2250.0,direct,2,"EN, ES",O,O,O,N,O,O,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,N,N,N,N,N,N,N,N,O,O,O,N,N,O,O,N,O,N,,,,,,,,,,79.6,100.0,88.0,live,centralized,79.6,79.6,79.6,0.0,79.6,79.6,79.6,79.6,76.2,66.7,100.0,77.3,72.7,✓ collecté +5sat,Oui,0,Profil A — Portail Numérique Mature,portail:https://www.hacienda.gob.es/
Bahreïn,meilleure pratique,Asie,https://www.mofne.gov.bh/en/,18.0,0.9196,0.9041,0.9031,0.868,0.9877,,,,,,,O,O,N,,,direct,1,AR,O,O,O,N,O,O,O,O,O,N,O,O,N,O,O,N,O,N,O,N,O,N,O,,,,,,,,,,,,,,-,-,-,,,,,,,,,,74.8,84.5,71.7,live,centralized,74.8,74.8,68.3,0.0,74.8,74.8,74.8,68.3,90.5,66.7,60.0,64.3,100.0,✓ collecté,Oui,2,Profil C — Portail Communicant,
États-Unis,meilleure pratique,Amériques,https://home.treasury.gov/,19.0,0.9194,0.9452,0.9136,0.8842,0.9605,,,,,,,O,O,O,Drupal,778.0,direct,1,EN,O,N,O,N,O,O,O,O,O,O,N,N,N,O,N,N,O,O,O,O,O,N,O,N,N,N,N,O,O,N,N,O,N,O,O,N,N,N,O,,,,,,,,,,77.4,100.0,85.7,live,distributed,77.4,77.4,77.4,0.0,77.4,77.4,77.4,77.4,76.2,66.7,100.0,77.3,27.3,✓ collecté,Oui,1,Profil B — Portail Transactionnel,portail
Irlande,meilleure pratique,Europe,https://www.gov.ie/en/organisation/department-of-finance/,20.0,0.9138,0.9178,0.8768,0.9046,0.9599,,,,,,,O,O,O,Custom/Inconnu,669.0,direct,2,"EN, GA",O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,O,N,O,N,N,N,N,N,O,O,N,N,N,N,N,O,N,O,N,,,,,,,,,,73.2,100.0,73.2,live,distributed,73.2,73.2,73.2,0.0,73.2,73.2,73.2,73.2,100.0,100.0,100.0,0.0,63.6,✓ collecté,Oui,0,Profil A — Portail Numérique Mature,
Lituanie,aspirationnel,Europe,https://finmin.lrv.lt/en/,21.0,0.911,0.8356,0.8839,0.8861,0.9631,,,,,,,O,O,N,Custom/Inconnu,4259.0,live,2,"EN, LT",O,O,O,N,O,O,N,O,N,O,N,N,N,O,N,N,O,O,N,N,O,N,O,N,N,N,N,N,N,N,N,N,O,N,O,O,N,N,N,,,,,,,,,,63.0,100.0,60.0,live,distributed,63.0,63.0,63.0,0.0,63.0,63.0,63.0,63.0,90.5,0.0,60.0,77.3,0.0,✓ collecté,Oui,2,Profil C — Portail Communicant,non_vérifié
Autriche,aspirationnel,Europe,https://www.bmf.gv.at/en/,22.0,0.9065,0.7808,0.8383,0.9003,0.981,,,,,,,O,O,N,Custom/Inconnu,637.0,direct,2,"DE, EN",O,O,O,N,O,O,O,O,O,O,O,O,N,O,N,N,O,O,O,O,O,N,O,N,N,N,N,O,N,O,N,N,N,N,O,O,N,O,N,,,,,,,,,,82.8,100.0,79.8,live,distributed,82.8,82.8,82.8,0.0,82.8,82.8,82.8,82.8,90.5,66.7,100.0,77.3,36.4,✓ collecté +5sat,Oui,0,Profil A — Portail Numérique Mature,portail:https://www.bmf.gv.at/en/the-ministry/minister-of-finance.html
Israël,aspirationnel,Asie,https://www.gov.il/en/departments/ministry_of_finance,23.0,0.9014,0.6986,0.8541,0.8739,0.9763,,,,,,,O,O,N,Custom/Inconnu,2641.0,live,2,"EN, HE",O,N,O,N,N,O,O,O,O,O,O,N,N,O,N,N,N,N,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,,,,,,,,,,60.8,100.0,66.1,blocked,centralized,60.8,60.8,60.8,0.0,60.8,60.8,60.8,60.8,66.7,66.7,100.0,22.7,36.4,✓ collecté,Oui,2,Profil C — Portail Communicant,
Kazakhstan,aspirationnel,Asie,https://www.minfin.gov.kz/,24.0,0.9009,0.8493,0.939,0.8403,0.9235,,,,,,,O,O,N,Custom/Inconnu,2090.0,direct,2,"KK, RU",O,N,O,N,O,O,O,O,O,N,O,O,O,O,N,N,O,N,O,O,O,O,N,N,N,N,N,N,N,O,N,N,N,O,O,O,N,O,N,,,,,,,,,,71.8,100.0,85.5,live,centralized,71.8,71.8,71.8,0.0,71.8,71.8,71.8,71.8,42.9,66.7,100.0,100.0,36.4,✓ collecté +6sat,Oui,1,Profil B — Portail Transactionnel,portail:https://www.minfin.gov.kz/
Uruguay,aspirationnel,Amériques,https://www.mef.gub.uy/,25.0,0.9006,0.863,0.8832,0.8749,0.9437,,,,,,,O,O,N,Drupal,8387.0,direct,1,ES,O,N,O,N,O,O,O,O,O,O,O,O,N,O,N,N,O,O,O,O,O,N,O,N,N,N,N,N,O,O,O,N,N,O,O,N,N,O,N,,,,,,,,,,77.7,100.0,83.0,live,centralized,77.7,77.7,77.7,0.0,77.7,77.7,77.7,77.7,66.7,66.7,100.0,77.3,100.0,✓ collecté +5sat,Oui,1,Profil B — Portail Transactionnel,portail
Suisse,aspirationnel,Europe,https://www.efd.admin.ch/,26.0,0.9003,0.8219,0.8408,0.9026,0.9576,,,,,,,O,O,O,Custom/Inconnu,1171.0,direct,3,"DE, EN, FR",O,O,O,N,O,O,O,O,O,O,O,O,N,O,N,O,O,N,O,O,O,N,O,N,N,N,N,N,N,O,N,N,N,N,O,O,N,O,N,,,,,,,,,,91.1,100.0,91.1,live,distributed,91.1,91.1,91.1,0.0,91.1,91.1,91.1,91.1,100.0,100.0,100.0,77.3,36.4,✓ collecté +5sat,Oui,0,Profil A — Portail Numérique Mature,portail:https://www.efd.admin.ch/
Türkiye,aspirationnel,Asie,https://en.hmb.gov.tr/,27.0,0.8913,0.863,0.9225,0.9192,0.8322,,,,,,,O,O,O,Custom/Inconnu,8199.0,playwright,2,"EN, TR",O,N,O,N,O,O,O,O,O,O,O,O,N,O,O,N,N,O,O,O,O,N,O,N,N,N,N,N,O,N,N,N,N,N,N,O,N,N,N,,,,,,,,,,59.9,100.0,68.2,live,centralized,59.9,59.9,59.9,0.0,59.9,59.9,59.9,59.9,76.2,66.7,100.0,0.0,63.6,✓ collecté,Oui,2,Profil C — Portail Communicant,
Malte,aspirationnel,Europe,https://finance.gov.mt/,28.0,0.8886,0.7397,0.8749,0.8162,0.9747,-,-,-,-,-,-,O,O,N,,,live,1,MT,O,O,O,N,O,O,N,O,N,N,O,O,N,O,N,N,N,N,O,N,O,N,O,,,,,,,,,,,,O,,-,-,-,-,-,-,-,-,-,-,-,-,67.8,92.8,64.7,live,centralized,67.8,67.8,67.8,0.0,67.8,67.8,67.8,67.8,90.5,66.7,60.0,36.4,100.0,✓ collecté,Oui,2,Profil C — Portail Communicant,non_vérifié
